Metric,Hits@1,MRR,AUC,AP
Cora_GCN_inter0.10_intra0.50_total6500_Orbits_4744.00_Norm_0.41_ArScore_0.12_lr0.001_batch16384_seed999,3.05 ± nan,5.91 ± nan,65.24 ± nan,69.96 ± nan
Cora_GCN_inter0.10_intra0.50_total7000_Orbits_4807.00_Norm_0.39_ArScore_0.11_lr0.001_batch16384_seed999,1.66 ± nan,4.40 ± nan,67.96 ± nan,71.43 ± nan
Cora_SAGE_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,19.96 ± nan,27.21 ± nan,98.96 ± nan,98.82 ± nan
Cora_SAGE_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,0.88 ± nan,12.41 ± nan,98.13 ± nan,97.30 ± nan
Cora_SAGE_inter0.10_intra0.50_total500_Orbits_2393.00_Norm_0.69_ArScore_0.56_lr0.01_batch1024_seed999,19.09 ± nan,24.67 ± nan,97.62 ± nan,97.27 ± nan
Cora_SAGE_inter0.10_intra0.50_total1000_Orbits_2756.00_Norm_0.66_ArScore_0.49_lr0.01_batch1024_seed999,8.39 ± nan,27.28 ± nan,97.17 ± nan,97.47 ± nan
Cora_SAGE_inter0.10_intra0.50_total1500_Orbits_3077.00_Norm_0.64_ArScore_0.43_lr0.01_batch1024_seed999,7.03 ± nan,19.82 ± nan,95.63 ± nan,95.70 ± nan
Cora_SAGE_inter0.10_intra0.50_total2000_Orbits_3356.00_Norm_0.62_ArScore_0.38_lr0.01_batch1024_seed999,7.88 ± nan,14.99 ± nan,94.75 ± nan,94.84 ± nan
Cora_SAGE_inter0.10_intra0.50_total2500_Orbits_3598.00_Norm_0.60_ArScore_0.34_lr0.01_batch1024_seed999,3.96 ± nan,14.51 ± nan,95.19 ± nan,95.00 ± nan
Cora_SAGE_inter0.10_intra0.50_total3000_Orbits_3769.00_Norm_0.58_ArScore_0.30_lr0.01_batch1024_seed999,3.97 ± nan,13.75 ± nan,95.16 ± nan,94.76 ± nan
Cora_SAGE_inter0.10_intra0.50_total3500_Orbits_3981.00_Norm_0.55_ArScore_0.26_lr0.01_batch1024_seed999,0.32 ± nan,11.72 ± nan,92.93 ± nan,93.15 ± nan
Cora_SAGE_inter0.10_intra0.50_total4000_Orbits_4172.00_Norm_0.53_ArScore_0.23_lr0.01_batch1024_seed999,9.21 ± nan,13.48 ± nan,90.79 ± nan,91.11 ± nan
Cora_SAGE_inter0.10_intra0.50_total4500_Orbits_4317.00_Norm_0.50_ArScore_0.20_lr0.01_batch1024_seed999,3.71 ± nan,9.75 ± nan,90.63 ± nan,91.07 ± nan
Cora_SAGE_inter0.10_intra0.50_total5000_Orbits_4454.00_Norm_0.48_ArScore_0.18_lr0.01_batch1024_seed999,0.35 ± nan,7.50 ± nan,90.54 ± nan,91.10 ± nan
Cora_SAGE_inter0.10_intra0.50_total5500_Orbits_4583.00_Norm_0.45_ArScore_0.15_lr0.01_batch1024_seed999,10.05 ± nan,14.11 ± nan,89.40 ± nan,90.17 ± nan
Cora_SAGE_inter0.10_intra0.50_total6000_Orbits_4667.00_Norm_0.44_ArScore_0.14_lr0.01_batch1024_seed999,5.27 ± nan,8.42 ± nan,91.41 ± nan,91.45 ± nan
Cora_GCN_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,12.38 ± nan,27.74 ± nan,99.36 ± nan,99.05 ± nan
Cora_SAGE_inter0.10_intra0.50_total6500_Orbits_4744.00_Norm_0.41_ArScore_0.12_lr0.01_batch1024_seed999,1.03 ± nan,9.33 ± nan,89.19 ± nan,89.91 ± nan
Cora_GCN_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,0.82 ± nan,29.05 ± nan,99.47 ± nan,99.29 ± nan
Cora_SAGE_inter0.10_intra0.50_total7000_Orbits_4807.00_Norm_0.39_ArScore_0.11_lr0.01_batch1024_seed999,6.36 ± nan,10.11 ± nan,87.37 ± nan,87.22 ± nan
Cora_GCN_inter0.10_intra0.50_total500_Orbits_2393.00_Norm_0.69_ArScore_0.56_lr0.01_batch1024_seed999,0.92 ± nan,16.37 ± nan,99.35 ± nan,98.95 ± nan
Cora_GCN_inter0.10_intra0.50_total1000_Orbits_2756.00_Norm_0.66_ArScore_0.49_lr0.01_batch1024_seed999,36.03 ± nan,50.13 ± nan,99.23 ± nan,99.12 ± nan
Cora_GCN_inter0.10_intra0.50_total1500_Orbits_3077.00_Norm_0.64_ArScore_0.43_lr0.01_batch1024_seed999,24.31 ± nan,37.80 ± nan,98.68 ± nan,98.66 ± nan
Cora_GCN_inter0.10_intra0.50_total2000_Orbits_3356.00_Norm_0.62_ArScore_0.38_lr0.01_batch1024_seed999,41.40 ± nan,33.07 ± nan,98.38 ± nan,98.23 ± nan
Cora_GCN_inter0.10_intra0.50_total2500_Orbits_3598.00_Norm_0.60_ArScore_0.34_lr0.01_batch1024_seed999,19.80 ± nan,28.47 ± nan,98.45 ± nan,98.49 ± nan
Cora_GCN_inter0.10_intra0.50_total3000_Orbits_3769.00_Norm_0.58_ArScore_0.30_lr0.01_batch1024_seed999,10.45 ± nan,21.11 ± nan,97.71 ± nan,97.50 ± nan
Cora_GCN_inter0.10_intra0.50_total3500_Orbits_3981.00_Norm_0.55_ArScore_0.26_lr0.01_batch1024_seed999,16.22 ± nan,28.27 ± nan,97.78 ± nan,97.63 ± nan
Cora_GCN_inter0.10_intra0.50_total4000_Orbits_4172.00_Norm_0.53_ArScore_0.23_lr0.01_batch1024_seed999,17.79 ± nan,26.46 ± nan,96.81 ± nan,96.51 ± nan
Cora_GCN_inter0.10_intra0.50_total4500_Orbits_4317.00_Norm_0.50_ArScore_0.20_lr0.01_batch1024_seed999,2.34 ± nan,28.47 ± nan,96.99 ± nan,96.69 ± nan
Cora_GCN_inter0.10_intra0.50_total5000_Orbits_4454.00_Norm_0.48_ArScore_0.18_lr0.01_batch1024_seed999,11.02 ± nan,25.17 ± nan,96.12 ± nan,96.13 ± nan
Cora_GCN_inter0.10_intra0.50_total5500_Orbits_4583.00_Norm_0.45_ArScore_0.15_lr0.01_batch1024_seed999,5.71 ± nan,13.34 ± nan,95.56 ± nan,95.22 ± nan
Cora_GCN_inter0.10_intra0.50_total6000_Orbits_4667.00_Norm_0.44_ArScore_0.14_lr0.01_batch1024_seed999,4.26 ± nan,12.49 ± nan,96.26 ± nan,95.93 ± nan
Cora_GCN_inter0.10_intra0.50_total6500_Orbits_4744.00_Norm_0.41_ArScore_0.12_lr0.01_batch1024_seed999,3.62 ± nan,9.87 ± nan,94.87 ± nan,94.19 ± nan
Cora_GCN_inter0.10_intra0.50_total7000_Orbits_4807.00_Norm_0.39_ArScore_0.11_lr0.01_batch1024_seed999,12.72 ± nan,13.84 ± nan,95.22 ± nan,94.84 ± nan
Cora_GAT_inter0.00_intra0.00_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,17.44 ± nan,30.44 ± nan,99.07 ± nan,98.83 ± nan
Cora_GAT_inter0.10_intra0.50_total0_Orbits_1007.00_Norm_0.72_ArScore_0.81_lr0.01_batch1024_seed999,2.27 ± nan,20.39 ± nan,99.24 ± nan,98.81 ± nan
